group,bin,r_nm,mean_density_mg_ml,sd_density_mg_ml,fit_density_mg_ml,rho_dense_fit_mg_ml,rho_dilute_fit_mg_ml,deltaG_fit_kj_mol
$\text{IDP}_{50}$,33,9.899367313385008,98.80213117882495,0.43032790235699037,91.88256248563599,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,34,10.194870815277099,80.27583610267384,1.140268243407033,74.45423812059889,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,35,10.49037431716919,64.44379539074264,1.5687952562564595,59.876267007867796,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,36,10.785877819061279,51.23786387855376,1.823415857920184,47.85156738077595,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,37,11.08138132095337,40.37050832097702,1.9074122922092527,38.04666832225675,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,38,11.376884822845458,31.520024612175874,1.8587834837955144,30.12669056215293,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,39,11.672388324737549,24.458306117233253,1.7283057861592688,23.77777342204857,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,40,11.96789182662964,18.90391813148995,1.5236466191594518,18.719249001346412,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,41,12.263395328521728,14.548525824128172,1.3239765643629275,14.708420092797724,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,42,12.558898830413819,11.19630215294832,1.1325747567789095,11.54054905691359,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,43,12.854402332305906,8.605947212109317,0.9365678553791577,9.04609318901467,523.9500121811324,0.06886782753112858,-23.033590768873527
$\text{IDP}_{50}$,44,13.149905834197998,6.62153447278024,0.7720158518274505,7.0866148698679865,523.9500121811324,0.06886782753112858,-23.033590768873527
