group,rho_dense_mg_ml,rho_dilute_mg_ml,Rc_nm,w_nm,deltaG_kj_mol,valid_radius_nm
$\text{IDP}_{50}$,523.369190645767,0.07016795363113996,8.078003447865619,4.717491184651499,-22.98252917906616,23.19702489852905
$\text{Hel}_{50}$,623.7771138682763,0.21258953267884204,7.402464106943274,5.246157688865571,-20.577959791479202,23.21628726005554
$\text{IDP}_{50}$-Mem,509.02453518134223,0.3607594272344083,8.109385776644299,5.173845591696577,-18.690973205181592,24.042480115890502
$\text{Hel}_{10}\text{IDP}_{40}$-Mem,550.613204942278,1.3063672742240449,6.947980977593329,6.518208092654994,-15.576882036053567,22.814785623550414
