group,replicate,deltaG,rho_dense,rho_dilute,Rc,w,valid_radius
$\text{IDP}_{50}$,1,-33.87588518114326,552.258402744202,0.0010811572386830101,7.717779833621005,4.975566004319953,23.19702489852905
$\text{IDP}_{50}$,2,-23.13187147443624,527.1550826003798,0.06669666884288179,8.033835519337892,4.8858603234426985,23.19702489852905
$\text{IDP}_{50}$,3,-21.229442916731973,510.281657081148,0.13506545409174067,8.187032246754743,4.5565776428111935,23.19702489852905
$\text{Hel}_{50}$,1,-21.57028236318527,615.6070430174789,0.14275942187064958,7.556326710942008,4.972506123065373,23.21628726005554
$\text{Hel}_{50}$,2,-21.060762332078063,620.2482240785823,0.17527636763118892,7.548569997081839,5.068526944957815,23.21628726005554
$\text{Hel}_{50}$,3,-19.526308950335697,623.221033557274,0.31942057591351863,7.210186088123733,5.588385780137417,23.21628726005554
$\text{IDP}_{50}$-Mem,1,-19.412388530403636,535.2856965883617,0.28674943879464543,7.930231249892151,5.351806643773979,24.042480115890502
$\text{IDP}_{50}$-Mem,2,-18.864402761844353,500.6965908088569,0.3317644691714572,8.228420718376192,5.090628573058055,24.042480115890502
$\text{IDP}_{50}$-Mem,3,-18.01783715902229,493.97038953124877,0.45457613080294273,8.131803359267783,5.113715661878878,24.042480115890502
$\text{Hel}_{10}\text{IDP}_{40}$-Mem,1,-16.36760225011599,551.3600171645375,0.9625287029813598,6.984542943292947,6.2931875962590516,22.814785623550414
$\text{Hel}_{10}\text{IDP}_{40}$-Mem,2,-14.077739064970109,521.6129058568459,2.2140120035028135,6.99964834823447,6.097480811466356,22.814785623550414
$\text{Hel}_{10}\text{IDP}_{40}$-Mem,3,-17.768701256639783,585.0174865883747,0.5930006717941355,6.7741370696453105,7.2430333909391615,22.814785623550414
