group,r_nm,fit_density_mg_ml
$\text{IDP}_{50}$,10.521042084168338,58.51513805058519
$\text{IDP}_{50}$,10.571142284569138,56.34980861986975
$\text{IDP}_{50}$,10.62124248496994,54.25536126630678
$\text{IDP}_{50}$,10.671342685370742,52.230162357761145
$\text{IDP}_{50}$,10.721442885771543,50.27256416713519
$\text{IDP}_{50}$,10.771543086172345,48.38090969906267
$\text{IDP}_{50}$,10.821643286573147,46.55353719265182
$\text{IDP}_{50}$,10.871743486973948,44.78878430594963
$\text{IDP}_{50}$,10.92184368737475,43.08499198929471
$\text{IDP}_{50}$,10.971943887775552,41.440508055998095
$\text{IDP}_{50}$,11.022044088176353,39.85369045985493
$\text{IDP}_{50}$,11.072144288577155,38.32291028986586
$\text{IDP}_{50}$,11.122244488977957,36.846554493240035
$\text{IDP}_{50}$,11.172344689378757,35.42302833828549
$\text{IDP}_{50}$,11.22244488977956,34.0507576291773
$\text{IDP}_{50}$,11.272545090180362,32.72819068484665
$\text{IDP}_{50}$,11.322645290581162,31.453800094364908
$\text{IDP}_{50}$,11.372745490981965,30.22608426122534
$\text{IDP}_{50}$,11.422845691382767,29.043568748860224
$\text{IDP}_{50}$,11.472945891783567,27.904807439582328
$\text{IDP}_{50}$,11.52304609218437,26.80838351892794
$\text{IDP}_{50}$,11.57314629258517,25.752910297101863
$\text{IDP}_{50}$,11.623246492985972,24.737031878903025
$\text{IDP}_{50}$,11.673346693386774,23.759423693146914
$\text{IDP}_{50}$,11.723446893787575,22.81879289220376
$\text{IDP}_{50}$,11.773547094188377,21.913878631853578
$\text{IDP}_{50}$,11.823647294589179,21.043452241220535
$\text{IDP}_{50}$,11.87374749498998,20.206317292097083
$\text{IDP}_{50}$,11.923847695390782,19.401309576511977
$\text{IDP}_{50}$,11.973947895791584,18.62729700093513
$\text{IDP}_{50}$,12.024048096192384,17.88317940505155
$\text{IDP}_{50}$,12.074148296593187,17.167888312582164
$\text{IDP}_{50}$,12.124248496993989,16.480386621181765
$\text{IDP}_{50}$,12.17434869739479,15.819668238003857
$\text{IDP}_{50}$,12.224448897795591,15.184757667097728
$\text{IDP}_{50}$,12.274549098196394,14.574709554387994
$\text{IDP}_{50}$,12.324649298597194,13.988608195588057
$\text{IDP}_{50}$,12.374749498997996,13.425567012015563
$\text{IDP}_{50}$,12.424849699398798,12.884727998910336
$\text{IDP}_{50}$,12.474949899799599,12.36526115050441
$\text{IDP}_{50}$,12.525050100200401,11.866363865759268
$\text{IDP}_{50}$,12.575150300601203,11.387260338370169
$\text{IDP}_{50}$,12.625250501002004,10.927200934335218
$\text{IDP}_{50}$,12.675350701402806,10.485461560105392
$\text{IDP}_{50}$,12.725450901803608,10.061343024064854
$\text{IDP}_{50}$,12.775551102204409,9.654170393839024
$\text{IDP}_{50}$,12.82565130260521,9.263292351694815
$\text{IDP}_{50}$,12.875751503006013,8.88808055007675
$\text{IDP}_{50}$,12.925851703406813,8.52792896911751
