group,mean_deltaG,sd_deltaG,n,mean_profile_deltaG
$\text{IDP}_{50}$,-26.079066524103823,6.818914465100795,3,-22.98252917906616
$\text{Hel}_{50}$,-20.719117881866342,1.0639537235610088,3,-20.577959791479202
$\text{IDP}_{50}$-Mem,-18.76487615042343,0.7025827649758412,3,-18.690973205181592
$\text{Hel}_{10}\text{IDP}_{40}$-Mem,-16.071347523908628,1.8632298897838402,3,-15.576882036053567
