group,rho_dense_fit_mg_ml,rho_dilute_fit_mg_ml,Rc_nm,w_nm,deltaG_fit_kj_mol,rho_dilute_bulk_mg_ml,deltaG_bulk_kj_mol,actual_bulk_start_nm
$\text{IDP}_{50}$,523.9500121811324,0.06886782753112858,8.068983630724102,4.727168798198339,-23.033590768873527,0.07214684515588897,-22.913707258812313,20.0
$\text{Hel}_{50}$,623.2333789740901,0.21483183278798065,7.408937023657686,5.23874215170552,-20.548669918728187,0.22189782695982696,-20.465263361198314,20.0
$\text{IDP}_{50}$-Mem,508.7586248925853,0.3630978090974735,8.113354896986122,5.1688738164671175,-18.67297449750039,0.3967673348912942,-18.44442164057336,20.0
$\text{Hel}_{10}\text{IDP}_{40}$-Mem,550.613204942278,1.3063672742240449,6.947980977593329,6.518208092654994,-15.576882036053567,1.3510508856906251,-15.490199618963578,20.0
