group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,time_ps,survival_mean,survival_std,t_1e_ps,t_01_ps,mean_lifetime_ps,contact_cutoff_nm,symmetric_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,0.0,1.0,0.0,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,1000.0,0.37643675277366545,0.010341638684855027,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,2000.0,0.18680167483017315,0.007513358647347235,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,3000.0,0.10532877244271382,0.0053837364133600815,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,4000.0,0.06397247618983298,0.0038440094499477807,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,5000.0,0.04174927196393702,0.0019622328117612116,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,6000.0,0.02854205534807602,0.0020440431579311497,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,7000.0,0.019796070296096438,0.001321114253666615,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,8000.0,0.01387125265436011,0.001261735081269049,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,9000.0,0.010396120321409694,0.001167090333427751,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,10000.0,0.007750096401583708,0.001089915487523569,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,11000.0,0.006054606266223624,0.0008275221231544183,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,12000.0,0.004680185689480002,0.0007069762193870032,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,13000.0,0.003791768637988942,0.0006820667504144133,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,14000.0,0.003081299620612703,0.000454818411361499,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,15000.0,0.0023246134096589605,0.0004694061029791348,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,16000.0,0.001751791686467818,0.0003376152448038391,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,17000.0,0.0013768877198012737,0.00040386377956766917,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,18000.0,0.0012075408431468408,0.0003736851179343286,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,19000.0,0.0009564281190987453,0.00019299935805412805,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,all,largest_cluster,20000.0,0.0008127666503958586,0.00015345645656625556,1045.1251513961622,3128.8503305549907,1885.3316144460114,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
