section,metric,label,$\mathrm{IDP}_{50}$_mean,$\mathrm{IDP}_{50}$_sd,$\mathrm{IDP}_{50}$_median,$\mathrm{Hel}_{50}$_mean,$\mathrm{Hel}_{50}$_sd,$\mathrm{Hel}_{50}$_median,delta_$\mathrm{Hel}_{50}$-$\mathrm{IDP}_{50}$,bootstrap_delta_2.5%,bootstrap_delta_97.5%,exact_perm_p,$\mathrm{IDP}_{50}$_n,$\mathrm{Hel}_{50}$_n
early_speed,t_size_ge_25_us,T25: time to Nmax >= 25,2.118055555555556,0.828056465018696,1.896,1.4490189743589743,0.3706418003369317,1.5720769230769231,-0.6690365811965815,-1.5854810256410254,0.10456786324786282,0.3,3,3
early_speed,t50_relative_us,t50 relative growth,3.1576079545454547,0.8049995055878246,3.365886363636364,1.9941045751633988,0.6900443629274094,2.2223,-1.163503379382056,-2.1272843434343436,-0.1997224153297692,0.2,3,3
early_speed,early_linear_slope_0_5us,early slope 0-5 us,7.465626561583381,1.9061386311545332,8.020298337984123,7.740605039859414,2.809958312667423,7.479342570337934,0.27497847827603294,-2.821990250318133,3.371947206870198,1.0,3,3
early_speed,early_auc_fraction_0_5us,early AUC 0-5 us,0.5861562208915502,0.06456702442532565,0.5665561796407184,0.5877531510312708,0.04213306016245835,0.5709304710578842,0.0015969301397206204,-0.07049899268130422,0.0694835795076515,0.9,3,3
late_stability,late_full_occupancy_fraction,late P(Nmax = 50),0.7963536979635369,0.1938880719397647,0.7753224677532247,0.4145252141452522,0.20609810193945127,0.46435356464353567,-0.38182848381828477,-0.6448688464486885,-0.11878812118788118,0.1,3,3
late_stability,late_near_full_occupancy_fraction,late P(Nmax >= 49),0.9987334599873346,0.0011371344271727678,0.9984001599840016,0.8182181781821818,0.2733347524108598,0.9568043195680432,-0.18051528180515286,-0.49518381495183816,-0.0044328900443288966,0.1,3,3
late_stability,late_mean_size,late mean Nmax,49.79508715795087,0.19476174297512075,49.773122687731224,49.22187781221877,0.4896406417066698,49.45885411458854,-0.5732093457320957,-1.0826250708262535,-0.14761857147618684,0.1,3,3
late_stability,late_sd_size,late SD of Nmax,0.3081966130559442,0.26037690789508483,0.42405369689016426,0.6346599451897089,0.16135726929380637,0.5780363547366726,0.3264633321337647,0.06380069231793734,0.6246604451522121,0.1,3,3
late_stability,late_fragmentation_events_lt_near_full,late drops below 49,7.0,6.082762530298219,10.0,40.333333333333336,25.81343319539912,28.0,33.333333333333336,14.000000000000002,62.666666666666664,0.1,3,3
late_stability,stable_ge_49_us,sustained Nmax >= 49 from,11.726333333333335,7.297784070067661,10.348,16.245666666666665,1.588590675200296,15.692,4.51933333333333,-3.141333333333332,11.029666666666664,0.4,3,3
