group,replicate,file,baseline_size,plateau_size,amplitude_size,observed_max_size,t10_relative_us,t50_relative_us,t80_relative_us,growth_duration_t10_to_t80_us,t_size_ge_25_us,t_size_ge_40_us,max_slope_chains_per_us,early_linear_slope_0_5us,early_auc_fraction_0_5us,late_window_start_us,late_window_end_us,late_mean_size,late_sd_size,late_full_occupancy_fraction,late_near_full_occupancy_fraction,late_escape_fraction_lt_near_full,late_fragmentation_events_lt_near_full,stable_ge_49_us
$\mathrm{IDP}_{50}$,Run 1,alhx_0.txt,17.133732534930147,50.0,32.86626746506985,50.0,1.0928000000000007,2.2689375000000007,4.09745,3.00465,1.896,2.4798,60.87824351297422,8.020298337984123,0.658252143712575,10.0,20.0,49.999900009999,0.009999500037496877,0.9999000099990001,1.0,0.0,0,5.216
$\mathrm{IDP}_{50}$,Run 2,alhx_0_re1.txt,14.033932135728545,50.0,35.96606786427145,50.0,1.1611500000000008,3.365886363636364,3.641675,2.480524999999999,3.0345,3.567608695652174,53.89221556886878,9.032909576172422,0.5665561796407184,10.0,20.0,49.773122687731224,0.42405369689016426,0.7753224677532247,0.9978002199780022,0.0021997800219978004,10,10.348
$\mathrm{IDP}_{50}$,Run 3,alhx_0_re2.txt,14.087824351297403,50.0,35.9121756487026,50.0,1.0709199999999996,3.838,7.0758600000000005,6.004940000000001,1.4236666666666673,6.917222222222223,39.92015968063788,5.343671770593599,0.5336603393213573,10.0,20.0,49.61223877612239,0.49053664224017146,0.6138386161383862,0.9984001599840016,0.0015998400159984002,11,19.615
$\mathrm{Hel}_{50}$,Run 1,alhx_700.txt,10.273453093812373,49.996007984031934,39.72255489021956,50.0,0.9623666666666663,2.541147058823529,2.7578933333333335,1.7955266666666674,1.5720769230769231,2.7171875,67.86427145709422,10.672070464721989,0.6356985628742515,10.0,20.0,49.45885411458854,0.5092463517938233,0.46435356464353567,0.9945005499450055,0.005499450054994501,28,15.008
$\mathrm{Hel}_{50}$,Run 2,alhx_700_re1.txt,12.000000000000002,50.0,38.0,50.0,1.26238,2.2223,7.2896,6.02722,1.74248,7.1064444444444455,54.89021956088618,7.479342570337934,0.5709304710578842,10.0,20.0,49.54794520547945,0.5780363547366726,0.5911408859114089,0.9568043195680432,0.043195680431956804,23,15.692
$\mathrm{Hel}_{50}$,Run 3,alhx_700_re2.txt,9.744510978043913,49.28542914171657,39.54091816367266,50.0,0.6915714285714286,1.2188666666666668,5.119111111111111,4.427539682539682,1.0325,5.043699999999999,54.890219560878904,5.070402084518317,0.5566304191616767,10.0,20.0,48.65883411658834,0.8166971290386308,0.18808119188081193,0.5033496650334967,0.49665033496650335,70,18.037
