plain_group,group,replicate,threshold,fpt_us,source_path
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 1,10,0.0,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus1.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 1,15,0.0,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus1.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 1,20,0.0,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus1.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 1,25,0.011,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus1.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 1,30,0.063,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus1.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 1,35,0.115,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus1.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 1,40,0.167,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus1.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 1,45,0.219,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus1.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 1,50,nan,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus1.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 2,10,0.0,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus2.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 2,15,0.0,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus2.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 2,20,0.0,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus2.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 2,25,0.011,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus2.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 2,30,0.063,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus2.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 2,35,0.115,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus2.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 2,40,0.167,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus2.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 2,45,0.219,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus2.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 2,50,5.73,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus2.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 3,10,0.0,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus3.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 3,15,0.0,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus3.txt
