# Time(ns) Kappa2 Rg(A) Size L_minor(A) L_mid(A) L_major(A)
# Generated from /data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc
# AvgKappa2=0.1295+-0.0340
10084.0000 0.1793 77.6876 48.0000 29.2231 38.8363 60.6062
10085.0000 0.1885 78.3573 48.0000 29.0135 38.9575 61.4849
10086.0000 0.1829 78.1096 48.0000 28.9192 39.2380 61.0342
10087.0000 0.1901 78.4984 48.0000 29.0742 38.9051 61.6691
10088.0000 0.1946 78.7604 48.0000 28.8718 39.0047 62.0343
10089.0000 0.2019 78.9920 48.0000 28.5578 38.9877 62.4832
10090.0000 0.1936 78.7919 48.0000 28.7760 39.1946 61.9990
10091.0000 0.1975 78.7921 48.0000 28.8436 38.8507 62.1841
10092.0000 0.2001 78.7845 48.0000 28.5638 38.9319 62.2529
10093.0000 0.1976 78.9654 48.0000 28.7170 39.1131 62.2979
10094.0000 0.1928 78.6545 48.0000 28.8820 39.0322 61.8777
10095.0000 0.1914 78.6446 48.0000 28.9971 39.0115 61.8244
10096.0000 0.1861 78.3673 48.0000 29.1165 39.0409 61.3960
10097.0000 0.1898 78.1715 48.0000 28.9801 38.7391 61.4022
10098.0000 0.1895 78.3485 48.0000 29.1070 38.7877 61.5368
10099.0000 0.1952 78.3248 48.0000 28.9824 38.4858 61.7547
10100.0000 0.1951 78.2987 48.0000 28.9311 38.5215 61.7233
10101.0000 0.1847 77.8664 48.0000 29.2952 38.5323 60.9937
10102.0000 0.1886 78.2084 48.0000 29.0773 38.7615 61.3890
10103.0000 0.1905 77.7851 48.0000 28.8461 38.4924 61.1290
10104.0000 0.1932 77.8297 48.0000 28.6370 38.5379 61.2553
10105.0000 0.1907 77.7143 48.0000 28.9099 38.3511 61.0977
10106.0000 0.1893 77.6064 48.0000 28.9524 38.3165 60.9620
10107.0000 0.1875 77.5485 48.0000 29.1608 38.1918 60.8671
10108.0000 0.1923 77.8596 48.0000 29.0615 38.2220 61.2913
10109.0000 0.1916 77.8208 48.0000 28.9342 38.3568 61.2180
10110.0000 0.1990 78.0638 48.0000 28.7582 38.2209 61.6935
10111.0000 0.2018 77.8919 48.0000 28.7004 37.9356 61.6792
10112.0000 0.2008 77.8752 48.0000 28.7705 37.9216 61.6341
10113.0000 0.1961 77.4305 48.0000 28.7574 37.8818 61.1020
10114.0000 0.1984 77.9117 48.0000 29.0582 37.8460 61.5916
10115.0000 0.1924 77.7328 48.0000 29.1199 38.0453 61.2125
10116.0000 0.1863 77.3967 48.0000 29.3010 38.0075 60.7218
10117.0000 0.1911 77.4205 48.0000 29.4412 37.5632 60.9603
10118.0000 0.1901 77.2649 48.0000 29.3747 37.5642 60.7940
10119.0000 0.1939 77.4933 48.0000 29.4635 37.4078 61.1374
10120.0000 0.1872 77.4815 48.0000 29.5204 37.8053 60.8497
10121.0000 0.1981 77.6728 48.0000 29.5366 37.2017 61.4548
10122.0000 0.1931 77.4944 48.0000 29.6818 37.2496 61.1296
10123.0000 0.1879 77.1118 48.0000 29.5704 37.3932 60.6100
10124.0000 0.1827 77.1228 48.0000 29.5723 37.7645 60.3924
