# Time(ns) Kappa2 Rg(A) Size L_minor(A) L_mid(A) L_major(A)
# Generated from /data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc
# AvgKappa2=0.0447+-0.0314
10084.0000 0.0128 71.5178 50.0000 36.4665 42.5971 44.3899
10085.0000 0.0109 71.5713 50.0000 36.9965 42.2013 44.4158
10086.0000 0.0106 71.8090 50.0000 37.1264 42.5113 44.3954
10087.0000 0.0125 71.8322 50.0000 36.7995 42.4455 44.7664
10088.0000 0.0141 72.3435 50.0000 36.6163 43.1995 45.0181
10089.0000 0.0166 72.4472 50.0000 36.3406 42.9526 45.6401
10090.0000 0.0117 72.1455 50.0000 36.9728 43.1033 44.4983
10091.0000 0.0126 72.1588 50.0000 36.8471 42.9451 44.7762
10092.0000 0.0122 72.2294 50.0000 37.1285 42.4560 45.1226
10093.0000 0.0129 71.9163 50.0000 36.7779 42.4593 44.9060
10094.0000 0.0124 71.8345 50.0000 36.9876 42.0310 45.0056
10095.0000 0.0131 71.6117 50.0000 36.8012 41.7645 45.0514
10096.0000 0.0133 71.7029 50.0000 36.8182 41.8072 45.1429
10097.0000 0.0107 71.4662 50.0000 37.1556 41.6974 44.5892
10098.0000 0.0135 71.0767 50.0000 36.3284 41.7235 44.6239
10099.0000 0.0141 71.1911 50.0000 36.3505 41.6543 44.8523
10100.0000 0.0161 71.7337 50.0000 36.2701 42.0303 45.4275
10101.0000 0.0168 71.8254 50.0000 36.2539 41.9759 45.6351
10102.0000 0.0133 71.8210 50.0000 36.5573 42.7037 44.7014
10103.0000 0.0161 72.1223 50.0000 36.3605 42.4777 45.5543
10104.0000 0.0208 72.7338 50.0000 35.9089 42.9129 46.4677
10105.0000 0.0211 72.3589 50.0000 35.6433 42.7729 46.2153
10106.0000 0.0200 72.1340 50.0000 35.7566 42.5035 46.0243
10107.0000 0.0224 72.1811 50.0000 35.0490 43.5455 45.6669
10108.0000 0.0218 72.0171 50.0000 35.1649 43.1100 45.7321
10109.0000 0.0199 71.9135 50.0000 35.5586 42.5980 45.7443
10110.0000 0.0184 71.7814 50.0000 35.5229 43.1229 45.0678
10111.0000 0.0183 71.7272 50.0000 35.7107 42.5035 45.4202
10112.0000 0.0184 71.8854 50.0000 35.6417 42.9851 45.2710
10113.0000 0.0150 72.0204 50.0000 36.2811 43.0317 44.9320
10114.0000 0.0159 72.1425 50.0000 36.0397 43.8583 44.5211
10115.0000 0.0174 72.4905 50.0000 35.9028 44.4816 44.5786
10116.0000 0.0156 72.4598 50.0000 36.2508 44.0644 44.6613
10117.0000 0.0144 72.1288 50.0000 36.4578 43.0855 44.9114
10118.0000 0.0171 72.0986 50.0000 36.2184 42.4196 45.6839
10119.0000 0.0146 71.8746 50.0000 36.3646 42.6641 44.9816
